ops_subtype@MetaData,station_id@MetaData,ops_obstype@MetaData,vesselinfo@VesselInfo,newobstype@NewObsType,anemometer_height@AnemometerHeight
int,string,int,string,int,float
_,_,_,_,_,_
10200,_,_,_,_,_
10200,03380,_,GBRG    ,10204,_
10200,2BKQ8,_,GBRG    ,10204,_
10200,3ETB9,_,GBRG    ,10204,_
10200,62102,_,GBRG    ,10204,_
10200,62104,_,GBRG    ,10204,_
10200,62111,_,GBRG    ,10204,_
10200,62112,_,GBRG    ,10204,_
10200,62113,_,GBRG    ,10204,_
10200,62114,_,GBRG    ,10204,_
10200,62115,_,GBRG    ,10204,_
10200,62116,_,GBRG    ,10204,_
10200,62117,_,GBRG    ,10204,_
10200,62118,_,GBRG    ,10204,_
10200,62119,_,GBRG    ,10204,_
10200,62120,_,GBRG    ,10204,_
10200,62121,_,GBRG    ,10204,_
10200,62122,_,GBRG    ,10204,_
10200,62123,_,GBRG    ,10204,_
10200,62124,_,GBRG    ,10204,_
10200,62127,_,GBRG    ,10204,_
10200,62128,_,GBRG    ,10204,_
10200,62129,_,GBRG    ,10204,_
10200,62130,_,GBRG    ,10204,_
10200,62131,_,GBRG    ,10204,_
10200,62132,_,GBRG    ,10204,_
10200,62133,_,GBRG    ,10204,_
10200,62134,_,GBRG    ,10204,_
10200,62135,_,GBRG    ,10204,_
10200,62136,_,GBRG    ,10204,_
10200,62137,_,GBRG    ,10204,_
10200,62138,_,GBRG    ,10204,_
10200,62139,_,GBRG    ,10204,_
10200,62140,_,GBRG    ,10204,_
10200,62141,_,GBRG    ,10204,_
10200,62142,_,GBRG    ,10204,_
10200,62143,_,GBRG    ,10204,_
10200,62144,_,GBRG    ,10204,_
10200,62145,_,GBRG    ,10204,_
10200,62146,_,GBRG    ,10204,_
10200,62147,_,GBRG    ,10204,_
10200,62148,_,GBRG    ,10204,_
10200,62149,_,GBRG    ,10204,_
10200,62150,_,GBRG    ,10204,_
10200,62151,_,GBRG    ,10204,_
10200,62152,_,GBRG    ,10204,_
10200,62153,_,GBRG    ,10204,_
10200,62154,_,GBRG    ,10204,_
10200,62155,_,GBRG    ,10204,_
10200,62156,_,GBRG    ,10204,_
10200,62157,_,GBRG    ,10204,_
10200,62158,_,GBRG    ,10204,_
10200,62159,_,GBRG    ,10204,_
10200,62160,_,GBRG    ,10204,_
10200,62161,_,GBRG    ,10204,_
10200,62162,_,GBRG    ,10204,_
10200,62164,_,GBRG    ,10204,_
10200,62165,_,GBRG    ,10204,_
10200,62166,_,GBRG    ,10204,_
10200,62167,_,GBRG    ,10204,_
10200,62168,_,GBRG    ,10204,_
10200,62169,_,GBRG    ,10204,_
10200,62296,_,GBRG    ,10204,_
10200,62297,_,GBRG    ,10204,_
10200,62302,_,GBRG    ,10204,_
10200,63055,_,GBRG    ,10204,_
10200,63056,_,GBRG    ,10204,_
10200,63057,_,GBRG    ,10204,_
10200,63058,_,GBRG    ,10204,_
10200,63059,_,GBRG    ,10204,_
10200,63101,_,GBRG    ,10204,_
10200,63102,_,GBRG    ,10204,_
10200,63103,_,GBRG    ,10204,_
10200,63104,_,GBRG    ,10204,_
10200,63105,_,GBRG    ,10204,_
10200,63106,_,GBRG    ,10204,_
10200,63107,_,GBRG    ,10204,_
10200,63108,_,GBRG    ,10204,_
10200,63109,_,GBRG    ,10204,_
10200,63110,_,GBRG    ,10204,_
10200,63111,_,GBRG    ,10204,_
10200,63112,_,GBRG    ,10204,_
10200,63113,_,GBRG    ,10204,_
10200,63114,_,GBRG    ,10204,_
10200,63115,_,GBRG    ,10204,_
10200,63116,_,GBRG    ,10204,_
10200,63117,_,GBRG    ,10204,_
10200,63118,_,GBRG    ,10204,_
10200,63119,_,GBRG    ,10204,_
10200,63120,_,GBRG    ,10204,_
10200,64041,_,GBRG    ,10204,_
10200,64049,_,GBRG    ,10204,_
10200,9VDG7,_,GBRG    ,10204,_
10200,9VKB8,_,GBRG    ,10204,_
10200,A8LE6,_,GBRG    ,10204,_
10200,C6NR7,_,USFPUS  ,10204,-30.0
10200,C6SG2,_,GBRG    ,10204,_
10200,GCWP,_,GBRG    ,10204,_
10200,GFDF,_,GBRG    ,10204,_
10200,MQSY9,_,GBFPSN  ,10204,38.0
10200,MQTL6,_,GBRG    ,10204,_
10200,MVGF4,_,GBRG    ,10204,_
10200,MWVQ7,_,GBRG    ,10204,_
10200,MWYG6,_,GBFPSN  ,10204,55.0
10200,PJAI,_,GBFPSN  ,10204,-30.0
10200,PJGO,_,GBFPSN  ,10204,39.0
10200,V7FF9,_,GBRG    ,10204,_
10200,V7ZT2,_,GBRG    ,10204,_
10200,YJRD7,_,GBRG    ,10204,_
10200,YJST8,_,GBRG    ,10204,_
10200,YJSU9,_,GBRG    ,10204,_
10200,YJTL5,_,GBRG    ,10204,_
10200,YJXQ5,_,GBRG    ,10204,_
10200,ZQSD5,_,GBFPSN  ,10204,-30.0
10200,3ERR2,_,NOMI S  ,10204,-30.0
10200,LF3F,_,NOOT S  ,10204,-30.0
10200,LF3J,_,NOOT S  ,10204,-30.0
10200,LF3N,_,NOOT S  ,10204,-30.0
10200,LF4B,_,NOOT S  ,10204,-30.0
10200,LF4C,_,NOOT S  ,10204,-30.0
10200,LF4H,_,NOOT S  ,10204,-30.0
10200,LF5T,_,NOMI S  ,10204,-30.0
10200,LF5U,_,NOOT S  ,10204,-30.0
10200,6202603,_,DERG    ,10204,_
10200,6202604,_,DERG    ,10204,_
10200,62086,_,DERG    ,10204,_
10200,62087,_,DERG    ,10204,_
10200,66023,_,DERG    ,10204,_
