MetaData/stationIdentification,BiasCoefficientValue/ascentPredictor
string,float
_,0.
00000000,-0.000001
00000500,0.001537
00000515,0.020103
00000570,0.025329
00000727,0.021926
00000752,-0.010191
00000758,0.021158
00000765,-0.000042
00000771,0.025913
00000775,0.106567
00000785,0.013649
00000786,-0.050176
00000789,0.022323
00000792,-0.007606
00000796,0.027749
00000797,0.038645
00000805,-0.130163
00000810,0.026237
00000812,0.011236
00000814,0.012175
00000820,0.024144
00000825,-0.002301
00000827,0.012988
00000829,-0.003858
00000837,0.000001
00000840,0.032668
00000842,0.022888
00000843,-0.021419
00000853,0.000675
00000857,0.033084
00000889,-0.004529
00000894,-0.018064
00000898,-0.051902
00000899,0.004518
00000904,0.022164
00000909,-0.014799
00000916,0.001556
00000920,0.001907
00000933,0.035626
00000947,0.026553
00000950,0.109195
00001000,0.030647
00001001,0.026270
00001002,0.052569
00001005,0.016591
00001021,0.025177
00001023,0.011655
00001031,-0.110002
00001032,0.000112
00001033,0.013816
00001034,0.017143
00001035,0.032029
00001040,0.034420
00001042,0.009798
00001043,0.021112
00001046,0.030858
00001049,0.011818
00001057,0.010326
00001059,0.050055
00001061,0.038423
00001064,0.006690
00001068,0.000248
00001070,0.019736
00001072,0.017439
00001074,-0.019664
00001077,-0.009816
00001079,0.017884
00001085,0.017699
00001090,0.003609
00001091,0.003783
00001104,0.006534
00001105,-0.003201
00001106,0.047445
00001110,0.062325
00001111,0.026005
00001112,0.026624
00001113,-0.050928
00005003,0.026378
00005005,0.003049
00005006,0.009383
00005007,0.001940
00005010,0.009261
00005013,0.022416
00005018,0.024062
00005021,0.015568
00005022,0.004768
00005023,-0.007475
00005025,-0.015310
00005028,0.009539
00005029,-0.008181
00005032,0.000000
00005038,0.000000
00005039,0.000000
00005043,0.018891
00005047,0.007797
00005052,0.000000
00005057,0.006488
00005062,0.011821
00005064,0.024313
00005066,0.023383
00005067,-0.021738
00005069,0.014851
00005071,0.031605
00005074,0.026121
00005079,0.020898
00005082,0.018105
00005083,0.034212
00005088,0.002007
00005089,0.005690
00005091,0.026061
00005092,0.022918
00005094,-0.027068
00005097,0.033884
00005098,0.024087
00005100,0.023355
00005101,0.026037
00005105,0.020526
00005106,0.018408
00005107,0.007983
00005108,0.020924
00005109,0.014281
00005110,0.022433
00005111,0.020619
00005114,0.006165
00005115,0.008223
00005116,0.014085
00005117,0.003259
00005119,0.033601
00005120,0.047287
00005122,0.053815
00005123,0.045641
