MetaData/stationIdentification,BiasCoefficientValue/ascentSquaredPredictor
string,float
_,0.
00000000,0.000084
00000500,0.002692
00000515,-0.000576
00000570,-0.000997
00000727,-0.000494
00000752,0.000068
00000758,0.000114
00000765,-0.000235
00000771,-0.001161
00000775,-0.074826
00000785,-0.000600
00000786,-0.000296
00000789,0.000950
00000792,0.000986
00000796,-0.000300
00000797,0.000717
00000805,0.161888
00000810,-0.000446
00000812,-0.027641
00000814,-0.001387
00000820,-0.000204
00000825,0.000400
00000827,-0.000007
00000829,-0.000414
00000837,0.000402
00000840,-0.000751
00000842,-0.000093
00000843,-0.000803
00000853,-0.000635
00000857,0.004417
00000889,0.004410
00000894,0.010291
00000898,-0.000139
00000899,0.006309
00000904,0.004666
00000909,-0.002362
00000916,0.005536
00000920,0.014797
00000933,-0.002480
00000947,-0.000729
00000950,-0.037474
00001000,-0.000273
00001001,-0.000090
00001002,-0.001368
00001005,-0.000417
00001021,0.000635
00001023,-0.003778
00001031,0.198912
00001032,0.001107
00001033,0.000728
00001034,-0.003830
00001035,0.000056
00001040,0.000087
00001042,0.002706
00001043,0.000407
00001046,-0.000182
00001049,0.000815
00001057,-0.000105
00001059,0.001259
00001061,0.001240
00001064,0.001365
00001068,0.000308
00001070,0.001768
00001072,0.001382
00001074,-0.036247
00001077,0.000654
00001079,0.002448
00001085,-0.001431
00001090,0.001908
00001091,-0.002586
00001104,0.000783
00001105,0.001804
00001106,0.002337
00001110,0.016853
00001111,-0.013108
00001112,-0.159759
00001113,-0.002456
00005003,-0.000287
00005005,0.000437
00005006,0.000319
00005007,0.000567
00005010,0.000138
00005013,-0.000093
00005018,-0.000025
00005021,0.000780
00005022,0.000584
00005023,0.000918
00005025,0.000929
00005028,0.000237
00005029,0.000739
00005032,0.000000
00005038,0.000000
00005039,0.000000
00005043,0.001905
00005047,-0.000143
00005052,0.000000
00005057,0.000022
00005062,-0.000080
00005064,-0.002646
00005066,-0.000376
00005067,0.017791
00005069,-0.000407
00005071,-0.000256
00005074,-0.000013
00005079,-0.000314
00005082,-0.000247
00005083,0.000465
00005088,0.001158
00005089,0.000414
00005091,-0.000678
00005092,-0.000406
00005094,0.001459
00005097,-0.003580
00005098,-0.000653
00005100,0.000007
00005101,-0.000866
00005105,-0.000162
00005106,-0.000280
00005107,-0.000178
00005108,-0.000338
00005109,-0.000249
00005110,-0.000637
00005111,-0.000676
00005114,0.000426
00005115,0.000188
00005116,-0.000285
