MetaData/stationIdentification,BiasCoefficientValue/constantPredictor
string,float
_,0.
00000000,-0.000001
00000500,0.671394
00000515,-0.330203
00000570,-0.103843
00000727,-0.252591
00000752,-0.351441
00000758,-0.674717
00000765,-0.000105
00000771,0.560517
00000775,-2.708073
00000785,0.668854
00000786,0.442836
00000789,-0.436946
00000792,0.633840
00000796,0.886687
00000797,0.526406
00000805,4.280398
00000810,0.183634
00000812,-0.658637
00000814,0.123543
00000820,0.435380
00000825,0.071054
00000827,0.413517
00000829,0.805001
00000837,0.000037
00000840,-1.529098
00000842,-0.252594
00000843,-0.514168
00000853,-0.026016
00000857,-0.194949
00000889,0.867559
00000894,0.721638
00000898,-0.049782
00000899,0.032157
00000904,0.734145
00000909,0.145119
00000916,0.280901
00000920,2.277187
00000933,0.032964
00000947,-0.184764
00000950,-1.325267
00001000,0.181306
00001001,0.108013
00001002,0.634806
00001005,0.785736
00001021,0.135765
00001023,-0.263431
00001031,0.617141
00001032,0.253211
00001033,-0.004223
00001034,1.523166
00001035,0.226985
00001040,0.800545
00001042,0.033941
00001043,1.188452
00001046,-0.334572
00001049,1.122632
00001057,0.927381
00001059,0.171758
00001061,0.325027
00001064,0.326239
00001068,0.000190
00001070,0.544177
00001072,0.292520
00001074,-0.909354
00001077,0.183346
00001079,0.813259
00001085,0.382826
00001090,0.026203
00001091,0.432576
00001104,0.040077
00001105,1.596282
00001106,0.546392
00001110,-1.378451
00001111,-1.741449
00001112,-0.499433
00001113,-1.544907
00005003,-0.051631
00005005,0.014434
00005006,-0.019694
00005007,0.005163
00005010,-0.098959
00005013,-0.202416
00005018,-0.075527
00005021,0.293191
00005022,0.186469
00005023,0.208989
00005025,0.415832
00005028,0.839715
00005029,0.171052
00005032,0.000000
00005038,0.000000
00005039,0.000000
00005043,-0.082771
00005047,0.878599
00005052,0.000000
00005057,0.033110
00005062,0.338917
00005064,-0.077686
00005066,-0.072854
00005067,1.948832
00005069,0.304517
00005071,-0.117496
00005074,0.009627
00005079,0.155012
00005082,-0.033548
00005083,-0.273520
00005088,0.019889
00005089,0.042310
00005091,0.469680
00005092,-0.132321
00005094,-0.162108
00005097,1.956587
00005098,-0.050713
00005100,0.285752
00005101,0.258470
00005105,-0.086603
00005106,0.016749
00005107,0.026751
00005108,0.309655
00005109,0.401476
00005110,-0.097092
00005111,0.279943
00005114,-0.295713
00005115,0.007606
00005116,-0.015344
00005117,0.000856
00005119,-0.004378
