station_id@MetaData,ops_obstype@MetaData,correctedStationAltitude@ObsAssignment
string,int,float
_,0,_
01134,0,0
01134,10100,383.0
01134,10200,0
02324,0,0
02324,10100,436.4
02324,10200,0
02418,0,0
02418,10100,107.0
02418,10200,0
04270,0,0
04270,10100,31.0
04270,10200,0
06239,0,0
06239,10100,52.0
06239,10200,0
06450,0,0
06450,10100,12.0
06450,10200,0
08521,0,0
08521,10100,58.0
08521,10200,0
08535,0,0
08535,10100,77.0
08535,10200,0
08545,0,0
08545,10100,69.0
08545,10200,0
16520,0,0
16520,10100,23.0
16520,10200,0
34357,0,0
34357,10100,128.4
34357,10200,0
40180,0,0
40180,10100,40.0
40180,10200,0
60710,0,0
60710,10100,67.6
60710,10200,0
65522,0,0
65522,10100,289.6
65522,10200,0
71203,0,0
71203,10100,430.0
71203,10200,0
72356,0,0
72356,10100,207.0
72356,10200,0
72683,0,0
72683,10100,1265.0
72683,10200,0
72698,0,0
72698,10100,7.0
72698,10200,0
78792,0,0
78792,10100,10.9
78792,10200,0
83827,0,0
83827,10100,246.0
83827,10200,0
96525,0,0
96525,10100,5.7
96525,10200,0
97072,0,0
97072,10100,86.5
97072,10200,0
97796,0,0
97796,10100,33.9
97796,10200,0
AABIR,0,0
AABIR,10800,95.0
AABIR,10801,0
AABRI,0,0
AABRI,10800,543.0
AABRI,10801,0
AACAR,0,0
AACAR,10800,90.0
AACAR,10801,0
AAERC,0,0
AAERC,10800,62.0
AAERC,10801,0
AAERI,0,0
AAERI,10800,945.0
AAERI,10801,0
AALAU,0,0
AALAU,10800,52.0
AALAU,10801,0
AAMIZ,0,0
AAMIZ,10800,2230.0
AAMIZ,10801,0
AAMUL,0,0
AAMUL,10800,430.0
AAMUL,10801,0
AAWIL,0,0
AAWIL,10800,25.0
AAWIL,10801,0
ARP01,0,0
ARP01,10800,31.0
ARP01,10801,0
ARP03,0,0
ARP03,10800,849.0
ARP03,10801,0
AUP04,0,0
AUP04,10800,67.0
AUP04,10801,0
AUP06,0,0
AUP06,10800,7.0
AUP06,10801,0
AUP08,0,0
AUP08,10800,5.0
AUP08,10801,0
