MetaData/stationIdentification,BiasCoefficientValue/constantPredictor
string,float
_,0.
00000000,0.000000
00000570,0.000000
00000674,0.000000
00000727,0.000000
00000752,0.000000
00000758,0.000000
00000765,0.000000
00000771,0.000000
00000772,0.000000
00000775,0.000000
00000785,0.000000
00000786,0.000000
00000789,0.000000
00000792,0.000000
00000796,0.000000
00000797,0.000000
00000805,0.000000
00000810,0.000000
00000812,0.000000
00000814,0.000000
00000820,0.000000
00000825,0.000000
00000827,0.000000
00000829,0.000000
00000837,0.000000
00000840,0.000000
00000842,0.000000
00000852,0.000000
00000853,0.000000
00000857,0.000000
00000889,0.000000
00000894,0.000000
00000899,0.000000
00000904,0.000000
00000909,0.000000
00000916,0.000000
00000927,0.000000
00000933,0.000000
00000947,0.000000
00000950,0.000000
00001000,0.000000
00001001,0.000000
00001002,0.000000
00001005,0.000000
00001021,0.000000
00001023,0.000000
00001031,0.000000
00001032,0.000000
00001033,0.000000
00001034,0.000000
00001035,0.000000
00001040,0.000000
00001042,0.000000
00001043,0.000000
00001046,0.000000
00001049,0.000000
00001057,0.000000
00001059,0.000000
00001061,0.000000
00001064,0.000000
00001066,0.000000
00001068,0.000000
00001070,0.000000
00001072,0.000000
00001074,0.000000
00001079,0.000000
00001085,0.000000
00001090,0.000000
00001091,0.000000
00001099,0.000000
00001101,0.000000
00001104,0.000000
00001106,0.000000
00001110,0.000000
00001111,0.000000
00001112,0.000000
00001113,0.000000
00005003,0.000000
00005005,0.000000
00005007,0.000000
00005010,0.000000
00005013,0.000000
00005015,0.000000
00005018,0.000000
00005021,0.000000
00005022,0.000000
00005023,0.000000
00005025,0.000000
00005028,0.000000
00005029,0.000000
00005043,0.000000
00005052,0.000000
00005057,0.000000
00005064,0.000000
00005066,0.000000
00005069,0.000000
00005070,0.000000
00005071,0.000000
00005072,0.000000
00005074,0.000000
00005079,0.000000
00005082,0.000000
00005083,0.000000
00005088,0.000000
00005092,0.000000
00005094,0.000000
00005098,0.000000
00005105,0.000000
00005106,0.000000
00005109,0.000000
00005114,0.000000
00005115,0.000000
00005117,0.000000
00005122,0.000000
00005126,0.000000
00005127,0.000000
00005134,0.000000
00005136,0.000000
00005138,0.000000
00005139,0.000000
00005154,0.000000
00005159,0.000000
00005162,0.000000
00005178,0.000000
00005186,0.000000
00005190,0.000000
00HQVXZA,-0.016938
00UKGDBA,0.000000
01CBZMBA,0.935358
020UFPRA,1.034999
02IRS1ZA,-0.192406
