channel,sensorMetaData/sensorCentralWavenumber
int,float
1,64875.0
2,65200.0
3,65275.0
4,65350.0
5,65425.0
6,65500.0
7,65575.0
8,65650.0
9,65700.0
10,65725.0
11,65750.0
12,65800.0
13,65850.0
14,65875.0
15,65900.0
16,65950.0
17,66000.0
18,66025.0
19,66050.0
20,66125.0
21,66175.0
22,66225.0
23,66275.0
24,66325.0
25,66375.0
26,66425.0
27,66450.0
28,66500.0
29,66525.0
30,66550.0
31,66575.0
32,66600.0
33,66625.0
34,66650.0
35,66700.0
36,66775.0
37,66800.0
38,66850.0
39,66900.0
40,66950.0
41,67000.0
42,67050.0
43,67075.0
44,67125.0
45,67200.0
46,67225.0
47,67250.0
48,67300.0
49,67375.0
50,67450.0
51,67525.0
52,67600.0
53,67675.0
54,67750.0
55,67800.0
56,67850.0
57,67925.0
58,68000.0
59,68075.0
60,68125.0
61,68175.0
62,68225.0
63,68250.0
64,68325.0
65,68400.0
66,68450.0
67,68475.0
68,68500.0
69,68550.0
70,68650.0
71,68725.0
72,68800.0
73,68875.0
74,68950.0
75,68975.0
76,69100.0
77,69150.0
78,69250.0
79,69300.0
80,69400.0
81,69450.0
82,69475.0
83,69525.0
84,69550.0
85,69600.0
86,69650.0
87,69725.0
88,69775.0
89,69800.0
90,69825.0
91,69900.0
92,69925.0
93,69950.0
94,70025.0
95,70075.0
96,70100.0
97,70125.0
98,70175.0
99,70225.0
100,70250.0
101,70275.0
102,70375.0
103,70400.0
104,70450.0
105,70550.0
106,70625.0
107,70700.0
108,70775.0
109,70825.0
110,70950.0
111,70975.0
112,71025.0
113,71100.0
114,71150.0
115,71200.0
116,71350.0
117,71450.0
118,71525.0
119,71600.0
120,71825.0
121,71875.0
122,71950.0
123,71975.0
124,72050.0
125,72125.0
126,72200.0
127,72300.0
128,72475.0
129,72550.0
130,72625.0
131,72650.0
132,72700.0
133,72775.0
134,72850.0
135,73100.0
136,73150.0
137,73225.0
138,73325.0
139,73375.0
140,73475.0
141,73550.0
142,73625.0
143,73750.0
144,73775.0
145,73800.0
146,73850.0
147,73900.0
148,73950.0
149,74000.0
150,74050.0
151,74125.0
152,74200.0
153,74425.0
154,74500.0
155,74575.0
156,74600.0
157,74650.0
158,74675.0
159,74725.0
160,74750.0
161,74825.0
162,74875.0
163,74925.0
164,75050.0
165,75125.0
166,75175.0
167,75275.0
168,75300.0
169,75325.0
170,75450.0
171,75525.0
172,75600.0
173,75725.0
174,75900.0
175,75950.0
176,76275.0
177,76400.0
178,76550.0
179,77200.0
180,77350.0
181,78125.0
182,78275.0
183,78450.0
184,78625.0
185,78750.0
186,78800.0
187,78925.0
188,79075.0
189,79325.0
190,80100.0
191,80625.0
192,81025.0
193,81175.0
194,82100.0
195,82950.0
196,83375.0
197,84400.0
198,86150.0
199,87125.0
200,87500.0
201,90150.0
202,90625.0
203,91725.0
204,91925.0
205,92500.0
206,92800.0
207,93800.0
208,94250.0
209,94325.0
210,95025.0
211,96250.0
212,96550.0
213,97925.0
214,99700.0
215,99825.0
216,99975.0
217,100075.0
218,100150.0
219,100225.0
220,100325.0
221,100475.0
222,100525.0
223,100600.0
224,100725.0
225,100825.0
226,100975.0
227,101050.0
228,101200.0
229,101325.0
230,101450.0
231,101550.0
232,101650.0
233,101825.0
234,101875.0
235,102025.0
236,102100.0
237,102200.0
238,102225.0
239,102300.0
240,102425.0
241,102500.0
242,102625.0
243,102700.0
244,102775.0
245,102875.0
246,102900.0
247,103000.0
248,103100.0
249,103175.0
250,103300.0
251,103475.0
252,103675.0
253,103825.0
254,103950.0
255,104050.0
256,104100.0
257,104150.0
258,104625.0
259,105125.0
260,105450.0
261,105550.0
262,105775.0
263,105925.0
264,105950.0
265,106125.0
266,106250.0
267,106350.0
268,106500.0
269,106825.0
270,106900.0
271,107225.0
272,109125.0
